zone,expected_energy_mwh_per_1mw_24h,rank,best_time,peak_generation_mw_per_1mw
Sylhet,4.612451274,1,2026-08-30 10:00:00,0.63528204
Rajshahi,4.3543934587,2,2026-08-30 11:00:00,0.60931385
Dhaka,4.292523411,3,2026-08-30 12:00:00,0.5796579
Comilla,4.1040123454,4,2026-08-30 11:00:00,0.57721704
Mymensingh,4.02606769815,5,2026-08-30 12:00:00,0.5993889
Chittagong,4.0059179943,6,2026-08-30 12:00:00,0.5966905
Barishal,3.4585019226,7,2026-08-30 12:00:00,0.49957696
Rangpur,3.442287237,8,2026-08-30 11:00:00,0.46021637
Khulna,3.248800546,9,2026-08-30 11:00:00,0.53459615
