zone,solar_avg_generation_mw_per_1mw,wind_avg_generation_mw_per_1mw,best_resource,combined_resource_score,overall_rank
Chittagong,0.1670717993510929,0.5014618373348725,Wind,0.33426681834298266,1
Barishal,0.1515832917235883,0.3971718375597482,Wind,0.2743775646416683,2
Comilla,0.1570695927254098,0.3868273316492638,Wind,0.2719484621873368,3
Dhaka,0.1495438074908925,0.3868879597147575,Wind,0.268215883602825,4
Khulna,0.149440704348816,0.3470137375662446,Wind,0.2482272209575303,5
Rajshahi,0.1500073332764116,0.3095698153332783,Wind,0.22978857430484495,6
Rangpur,0.1521298386270491,0.2980927528165688,Wind,0.22511129572180893,7
Mymensingh,0.1456082803961748,0.3015779625506907,Wind,0.22359312147343274,8
Sylhet,0.1535823574112021,0.1471212431693988,Solar,0.15035180029030046,9
