rank,zone,average_wind_speed_100m_kmh,maximum_wind_speed_100m_kmh,average_generation_mw_per_1mw,maximum_generation_mw_per_1mw,modeled_capacity_factor_pct
1,Khulna,15.015129781420764,76.0,0.6452839089215708,1.0,64.52839089215708
2,Barishal,15.871948998178508,93.8,0.6443279370960044,1.0,64.43279370960045
3,Rajshahi,14.33391393442623,64.9,0.6316452602124826,1.0,63.16452602124826
4,Dhaka,15.30721766848816,84.2,0.6279150744213822,1.0,62.79150744213822
5,Chittagong,18.656341074681237,66.2,0.6257895592372714,1.0,62.57895592372714
6,Rangpur,13.858253642987249,57.4,0.6209367123101986,1.0,62.09367123101986
7,Comilla,15.924920309653917,70.5,0.6104794032547017,1.0,61.04794032547017
8,Mymensingh,13.57455601092896,71.1,0.5987495928811831,1.0,59.87495928811831
9,Sylhet,10.359494535519126,63.8,0.4678293075888072,1.0,46.78293075888072
